state,county,fips,population,cases,casesPer100K,tests,testCaseDifferencePer100K,winsorizedTests,winsorizedTestsPer100K
Alabama,Autauga County,01001,55533,132,238,1506,2474,1506,2712
Alabama,Baldwin County,01003,217855,264,121,5931,2601,5931,2722
Alabama,Barbour County,01005,24872,92,370,561,1886,561,2256
Alabama,Bibb County,01007,22367,51,228,1084,4618,1084,4846
Alabama,Blount County,01009,57771,47,81,1152,1913,1152,1994
Alabama,Bullock County,01011,10174,58,570,207,1465,207,2035
Alabama,Butler County,01013,19631,301,1533,1032,3724,1032,5257
Alabama,Calhoun County,01015,114331,136,119,2696,2239,2696,2358
Alabama,Chambers County,01017,33600,329,979,1443,3315,1443,4295
Alabama,Cherokee County,01019,26014,30,115,501,1811,501,1926
Alabama,Chilton County,01021,44163,81,183,1062,2221,1062,2405
Alabama,Choctaw County,01023,12833,126,982,300,1356,300,2338
Alabama,Clarke County,01025,23918,86,360,751,2780,751,3140
Alabama,Clay County,01027,13294,27,203,394,2761,394,2964
Alabama,Cleburne County,01029,15010,13,87,174,1073,174,1159
Alabama,Coffee County,01031,51950,179,345,1323,2202,1323,2547
Alabama,Colbert County,01033,55004,104,189,1845,3165,1845,3354
Alabama,Conecuh County,01035,12292,21,171,243,1806,243,1977
Alabama,Coosa County,01037,10643,33,310,243,1973,243,2283
Alabama,Covington County,01039,36953,59,160,890,2249,890,2408
Alabama,Crenshaw County,01041,13825,53,383,496,3204,496,3588
Alabama,Cullman County,01043,83418,71,85,2071,2398,2071,2483
Alabama,Dale County,01045,49143,66,134,790,1473,790,1608
Alabama,Dallas County,01047,38294,167,436,1423,3280,1423,3716
Alabama,DeKalb County,01049,71407,200,280,1966,2473,1966,2753
Alabama,Elmore County,01051,81011,219,270,2157,2392,2157,2663
Alabama,Escambia County,01053,36524,39,107,885,2316,885,2423
Alabama,Etowah County,01055,102611,221,215,3401,3099,3401,3314
Alabama,Fayette County,01057,16445,9,55,434,2584,434,2639
Alabama,Franklin County,01059,31298,375,1198,1426,3358,1426,4556
Alabama,Geneva County,01061,26306,25,95,447,1604,447,1699
Alabama,Greene County,01063,8209,86,1048,412,3971,412,5019
Alabama,Hale County,01065,14749,104,705,642,3648,642,4353
Alabama,Henry County,01067,17173,45,262,332,1671,332,1933
Alabama,Houston County,01069,104770,149,142,2062,1826,2062,1968
Alabama,Jackson County,01071,51621,64,124,2061,3869,2061,3993
Alabama,Jefferson County,01073,659429,1397,212,28010,4036,28010,4248
Alabama,Lamar County,01075,13882,15,108,381,2637,381,2745
Alabama,Lauderdale County,01077,92604,116,125,2991,3105,2991,3230
Alabama,Lawrence County,01079,32941,35,106,519,1469,519,1576
Alabama,Lee County,01081,163656,454,277,4539,2496,4539,2774
Alabama,Limestone County,01083,96177,67,70,1692,1690,1692,1759
Alabama,Lowndes County,01085,9974,149,1494,395,2466,395,3960
Alabama,Macon County,01087,18321,56,306,448,2140,448,2445
Alabama,Madison County,01089,367004,281,77,11668,3103,11668,3179
Alabama,Marengo County,01091,19056,117,614,843,3810,843,4424
Alabama,Marion County,01093,29750,106,356,1152,3516,1152,3872
Alabama,Marshall County,01095,96170,636,661,4425,3940,4425,4601
Alabama,Mobile County,01097,413908,1773,428,15435,3301,15435,3729
Alabama,Monroe County,01099,21062,20,95,393,1771,393,1866
Alabama,Montgomery County,01101,226504,950,419,5431,1978,5431,2398
Alabama,Morgan County,01103,119203,122,102,2692,2156,2692,2258
Alabama,Perry County,01105,9070,22,243,401,4179,401,4421
