state,county,fips,population,cases,casesPer100K,tests,testCaseDifferencePer100K,winsorizedTests,winsorizedTestsPer100K
Alabama,Autauga County,01001,55533,132,238,1875,3139,1875,3376
Alabama,Baldwin County,01003,217855,264,121,7175,3172,7175,3293
Alabama,Barbour County,01005,24872,92,370,724,2541,724,2911
Alabama,Bibb County,01007,22367,51,228,1225,5249,1225,5477
Alabama,Blount County,01009,57771,47,81,1358,2269,1358,2351
Alabama,Bullock County,01011,10174,58,570,468,4030,468,4600
Alabama,Butler County,01013,19631,301,1533,1360,5395,1360,6928
Alabama,Calhoun County,01015,114331,136,119,3280,2750,3280,2869
Alabama,Chambers County,01017,33600,329,979,1409,3214,1409,4193
Alabama,Cherokee County,01019,26014,30,115,857,3179,857,3294
Alabama,Chilton County,01021,44163,81,183,1242,2629,1242,2812
Alabama,Choctaw County,01023,12833,126,982,432,2384,432,3366
Alabama,Clarke County,01025,23918,86,360,1020,3905,1020,4265
Alabama,Clay County,01027,13294,27,203,442,3122,442,3325
Alabama,Cleburne County,01029,15010,13,87,212,1326,212,1412
Alabama,Coffee County,01031,51950,179,345,1668,2866,1668,3211
Alabama,Colbert County,01033,55004,104,189,2370,4120,2370,4309
Alabama,Conecuh County,01035,12292,21,171,299,2262,299,2432
Alabama,Coosa County,01037,10643,33,310,264,2170,264,2481
Alabama,Covington County,01039,36953,59,160,1048,2676,1048,2836
Alabama,Crenshaw County,01041,13825,53,383,667,4441,667,4825
Alabama,Cullman County,01043,83418,71,85,2439,2839,2439,2924
Alabama,Dale County,01045,49143,66,134,3612,7216,3612,7350
Alabama,Dallas County,01047,38294,167,436,1783,4220,1783,4656
Alabama,DeKalb County,01049,71407,200,280,1720,2129,1720,2409
Alabama,Elmore County,01051,81011,219,270,2759,3135,2759,3406
Alabama,Escambia County,01053,36524,39,107,1054,2779,1054,2886
Alabama,Etowah County,01055,102611,221,215,3965,3649,3965,3864
Alabama,Fayette County,01057,16445,9,55,531,3174,531,3229
Alabama,Franklin County,01059,31298,375,1198,1906,4892,1906,6090
Alabama,Geneva County,01061,26306,25,95,589,2144,589,2239
Alabama,Greene County,01063,8209,86,1048,462,4580,462,5628
